trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
894,False,"{'a': 0.5, 'e': 0.22777920905261723}",25,16,5.445783535995797,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
895,False,"{'a': 0.5, 'e': 0.22631838413718425}",25,7,-13.037318137971104,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
896,False,"{'a': 0.5, 'e': 0.22485705000548248}",20,12,10.349719468272902,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
897,False,"{'a': 0.5, 'e': 0.22339520994551326}",20,3,23.62919594283534,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
898,False,"{'a': 0.5, 'e': 0.22193286724641567}",25,8,29.101724724708134,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
899,False,"{'a': 0.5, 'e': 0.22047002519846043}",30,0,19.533867039846776,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
900,False,"{'a': 0.5, 'e': 0.2190066870930415}",20,14,11.147317539470952,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
901,False,"{'a': 0.5, 'e': 0.21754285622266922}",35,18,11.857508897629701,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
902,False,"{'a': 0.5, 'e': 0.21607853588096199}",20,16,8.606018060234792,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
903,False,"{'a': 0.5, 'e': 0.2146137293626402}",25,3,14.216620838613089,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
904,False,"{'a': 0.5, 'e': 0.21314843996351787}",20,10,-1.0357710419735233,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
905,False,"{'a': 0.5, 'e': 0.21168267098049576}",20,3,3.6218440107338212,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
906,False,"{'a': 0.5, 'e': 0.21021642571155302}",25,0,-12.112426682833846,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
907,False,"{'a': 0.5, 'e': 0.20874970745574115}",20,13,13.66517838642548,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
908,False,"{'a': 0.5, 'e': 0.20728251951317556}",20,3,18.311749507958535,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
909,False,"{'a': 0.5, 'e': 0.2058148651850287}",25,0,-1.0471124953892024,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
910,False,"{'a': 0.5, 'e': 0.20434674777352183}",25,11,-28.37568318358187,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
911,False,"{'a': 0.5, 'e': 0.20287817058191865}",25,7,17.867973629540124,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
912,False,"{'a': 0.5, 'e': 0.20140913691451723}",25,9,3.6073018615273416,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
913,False,"{'a': 0.5, 'e': 0.19993965007664297}",25,12,9.237649346040396,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
914,False,"{'a': 0.5, 'e': 0.19846971337464017}",20,0,3.509970706908169,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
915,False,"{'a': 0.5, 'e': 0.196999330115866}",20,8,13.483765862531733,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
916,False,"{'a': 0.5, 'e': 0.19552850360868218}",25,11,4.96587517499376,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
917,False,"{'a': 0.5, 'e': 0.19405723716244794}",25,13,20.88439345166287,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
918,False,"{'a': 0.5, 'e': 0.19258553408751175}",25,14,16.446821937561772,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
